file_id                                   , frame_start, frame_end, activity       , delta
vp1/run1b_2018-05-29-14-02-47.kinect_color,         230,       265, electronics    ,    35
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3114,      3155, electronics    ,    41
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3310,      3356, reaching_behind,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3356,      3401, reaching_behind,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3401,      3411, reaching_behind,    10
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3413,      3458, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3458,      3495, electronics    ,    37
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3498,      3543, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3543,      3589, electronics    ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3589,      3634, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3634,      3679, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3679,      3724, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3724,      3770, electronics    ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3905,      3950, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3950,      3995, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        3995,      4040, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4040,      4045, electronics    ,     5
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4045,      4069, reaching_behind,    24
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4070,      4116, electronics    ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4116,      4161, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4161,      4206, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4206,      4251, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4251,      4297, electronics    ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4297,      4342, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4342,      4387, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4387,      4432, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4432,      4479, electronics    ,    47
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4479,      4525, electronics    ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4525,      4570, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4570,      4615, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4615,      4660, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4660,      4705, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4705,      4750, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4750,      4765, electronics    ,    15
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4765,      4811, electronics    ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4811,      4816, electronics    ,     5
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4816,      4854, electronics    ,    38
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4875,      4901, reaching_behind,    26
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4901,      4947, reaching_behind,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4947,      4993, reaching_behind,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,        4993,      5010, reaching_behind,    17
vp1/run1b_2018-05-29-14-02-47.kinect_color,        5010,      5037, electronics    ,    27
vp1/run1b_2018-05-29-14-02-47.kinect_color,        5171,      5212, reaching_behind,    41
vp1/run1b_2018-05-29-14-02-47.kinect_color,        5535,      5572, electronics    ,    37
vp1/run1b_2018-05-29-14-02-47.kinect_color,        6022,      6054, electronics    ,    32
vp1/run1b_2018-05-29-14-02-47.kinect_color,        6054,      6098, reaching_behind,    44
vp1/run1b_2018-05-29-14-02-47.kinect_color,        6098,      6116, eat_drink      ,    18
vp1/run1b_2018-05-29-14-02-47.kinect_color,        6117,      6162, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        6162,      6207, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        6207,      6234, electronics    ,    27
vp1/run1b_2018-05-29-14-02-47.kinect_color,        6234,      6263, eat_drink      ,    29
vp1/run1b_2018-05-29-14-02-47.kinect_color,        6263,      6308, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        6308,      6353, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        6353,      6357, eat_drink      ,     4
vp1/run1b_2018-05-29-14-02-47.kinect_color,        6357,      6402, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        6402,      6446, eat_drink      ,    44
vp1/run1b_2018-05-29-14-02-47.kinect_color,        6446,      6488, reaching_behind,    42
vp1/run1b_2018-05-29-14-02-47.kinect_color,        6564,      6607, electronics    ,    43
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7057,      7080, reaching_behind,    23
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7080,      7103, electronics    ,    23
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7478,      7523, reaching_behind,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7523,      7526, reaching_behind,     3
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7526,      7571, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7571,      7616, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7616,      7627, eat_drink      ,    11
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7627,      7672, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7672,      7718, eat_drink      ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7718,      7764, eat_drink      ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7764,      7809, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7809,      7855, eat_drink      ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7855,      7900, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7900,      7945, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7945,      7991, eat_drink      ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,        7991,      8035, eat_drink      ,    44
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8035,      8080, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8080,      8120, eat_drink      ,    40
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8120,      8165, reaching_behind,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8165,      8210, reaching_behind,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8210,      8238, reaching_behind,    28
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8321,      8365, reaching_behind,    44
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8365,      8410, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8410,      8416, eat_drink      ,     6
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8416,      8461, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8461,      8506, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8506,      8545, eat_drink      ,    39
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8545,      8590, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8590,      8610, eat_drink      ,    20
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8610,      8654, reaching_behind,    44
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8871,      8902, electronics    ,    31
vp1/run1b_2018-05-29-14-02-47.kinect_color,        8998,      9015, reaching_behind,    17
vp1/run1b_2018-05-29-14-02-47.kinect_color,        9044,      9088, reaching_behind,    44
vp1/run1b_2018-05-29-14-02-47.kinect_color,        9088,      9124, reaching_behind,    36
vp1/run1b_2018-05-29-14-02-47.kinect_color,        9318,      9329, reaching_behind,    11
vp1/run1b_2018-05-29-14-02-47.kinect_color,        9329,      9364, electronics    ,    35
vp1/run1b_2018-05-29-14-02-47.kinect_color,       10135,     10173, reaching_behind,    38
vp1/run1b_2018-05-29-14-02-47.kinect_color,       10173,     10219, reaching_behind,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,       10219,     10238, reaching_behind,    19
vp1/run1b_2018-05-29-14-02-47.kinect_color,       11007,     11040, reaching_behind,    33
vp1/run1b_2018-05-29-14-02-47.kinect_color,       11040,     11073, reaching_behind,    33
vp1/run1b_2018-05-29-14-02-47.kinect_color,       11324,     11370, reaching_behind,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,       11370,     11400, reaching_behind,    30
vp1/run1b_2018-05-29-14-02-47.kinect_color,       11400,     11427, electronics    ,    27
vp1/run1b_2018-05-29-14-02-47.kinect_color,       11951,     11995, reaching_behind,    44
vp1/run1b_2018-05-29-14-02-47.kinect_color,       11995,     12024, reaching_behind,    29
vp1/run1b_2018-05-29-14-02-47.kinect_color,       12305,     12331, reaching_behind,    26
vp1/run1b_2018-05-29-14-02-47.kinect_color,       12331,     12350, electronics    ,    19
vp1/run1b_2018-05-29-14-02-47.kinect_color,       12558,     12603, reaching_behind,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,       12603,     12621, reaching_behind,    18
vp1/run1b_2018-05-29-14-02-47.kinect_color,       12621,     12666, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,       12666,     12669, electronics    ,     3
vp1/run1b_2018-05-29-14-02-47.kinect_color,       12670,     12715, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,       12715,     12761, electronics    ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,       12761,     12805, electronics    ,    44
vp1/run1b_2018-05-29-14-02-47.kinect_color,       12805,     12851, electronics    ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,       12851,     12896, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,       12897,     12943, electronics    ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,       12943,     12988, electronics    ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,       12988,     13034, electronics    ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13034,     13064, electronics    ,    30
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13064,     13077, electronics    ,    13
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13077,     13123, reaching_behind,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13123,     13136, reaching_behind,    13
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13412,     13426, electronics    ,    14
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13427,     13456, reaching_behind,    29
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13458,     13484, eat_drink      ,    26
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13484,     13529, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13529,     13564, eat_drink      ,    35
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13564,     13610, eat_drink      ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13610,     13655, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13655,     13685, reaching_behind,    30
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13685,     13730, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13730,     13775, eat_drink      ,    45
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13775,     13821, eat_drink      ,    46
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13821,     13858, eat_drink      ,    37
vp1/run1b_2018-05-29-14-02-47.kinect_color,       13858,     13890, eat_drink      ,    32
vp1/run1b_2018-05-29-14-02-47.kinect_color,       14054,     14100, reaching_behind,    46
