Ruta_Archivo,Frame_Inicio,Frame_Fin,label,activity
dmd/gF/25/s3/gF_25_s3_2019-03-14T14;42;40+01;00_rgb_ann_distraction.json,8,97,safe,safe_drive
dmd/gF/25/s3/gF_25_s3_2019-03-14T14;42;40+01;00_rgb_ann_distraction.json,133,724,safe,safe_drive
dmd/gF/25/s3/gF_25_s3_2019-03-14T14;42;40+01;00_rgb_ann_distraction.json,985,1324,safe,safe_drive
dmd/gF/25/s3/gF_25_s3_2019-03-14T14;42;40+01;00_rgb_ann_distraction.json,1591,1875,safe,safe_drive
dmd/gF/25/s3/gF_25_s3_2019-03-14T14;42;40+01;00_rgb_ann_distraction.json,871,984,reaching,reach_side
dmd/gF/25/s3/gF_25_s3_2019-03-14T14;42;40+01;00_rgb_ann_distraction.json,1515,1590,reaching,reach_side
dmd/gF/25/s3/gF_25_s3_2019-03-14T14;42;40+01;00_rgb_ann_distraction.json,725,870,reaching,reach_backseat
dmd/gF/25/s3/gF_25_s3_2019-03-14T14;42;40+01;00_rgb_ann_distraction.json,1325,1514,reaching,reach_backseat
dmd/gF/25/s3/gF_25_s3_2019-03-11T10;11;14+01;00_rgb_ann_distraction.json,123,658,safe,safe_drive
dmd/gF/25/s3/gF_25_s3_2019-03-11T10;11;14+01;00_rgb_ann_distraction.json,897,1309,safe,safe_drive
dmd/gF/25/s3/gF_25_s3_2019-03-11T10;11;14+01;00_rgb_ann_distraction.json,1503,1712,safe,safe_drive
dmd/gF/25/s3/gF_25_s3_2019-03-11T10;11;14+01;00_rgb_ann_distraction.json,809,896,reaching,reach_side
dmd/gF/25/s3/gF_25_s3_2019-03-11T10;11;14+01;00_rgb_ann_distraction.json,1441,1502,reaching,reach_side
dmd/gF/25/s3/gF_25_s3_2019-03-11T10;11;14+01;00_rgb_ann_distraction.json,659,808,reaching,reach_backseat
dmd/gF/25/s3/gF_25_s3_2019-03-11T10;11;14+01;00_rgb_ann_distraction.json,1310,1440,reaching,reach_backseat
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,5,163,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,189,517,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,1127,1521,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,2668,2877,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,2895,3011,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,3805,3920,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,4502,4782,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,5793,5906,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,5983,6025,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,6064,6104,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,6126,6290,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,6328,6365,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,7055,7071,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,7094,7437,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,7945,8226,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,8771,9048,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,9932,10151,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,10821,11045,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,11597,11874,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,12547,12763,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,13331,13623,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,14161,14435,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,14902,15011,safe,safe_drive
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,3067,3683,unsafe,texting_right
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,6496,6968,unsafe,texting_right
dmd/gF/25/s4/gF_25_s4_2019-03-20T10;29;08+01;00_rgb_ann_distraction.json,1686,1827,unsafe,phonecall_right
