Ruta_Archivo,Video_Origen,ID_Accion,Actividad,Frame_Inicio,Frame_Fin
/mnt/c/Users/user/Documents/Alejandro_Mesa_Gomez/Vicomtech/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json,gA_1_s1_2019-03-08T09;31;15+01;00_distraction,0,gaze_on_road/looking_road,0,33
/mnt/c/Users/user/Documents/Alejandro_Mesa_Gomez/Vicomtech/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json,gA_1_s1_2019-03-08T09;31;15+01;00_distraction,0,gaze_on_road/looking_road,44,516
/mnt/c/Users/user/Documents/Alejandro_Mesa_Gomez/Vicomtech/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json,gA_1_s1_2019-03-08T09;31;15+01;00_distraction,0,gaze_on_road/looking_road,547,553
/mnt/c/Users/user/Documents/Alejandro_Mesa_Gomez/Vicomtech/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json,gA_1_s1_2019-03-08T09;31;15+01;00_distraction,0,gaze_on_road/looking_road,579,603
/mnt/c/Users/user/Documents/Alejandro_Mesa_Gomez/Vicomtech/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json,gA_1_s1_2019-03-08T09;31;15+01;00_distraction,0,gaze_on_road/looking_road,625,633
/mnt/c/Users/user/Documents/Alejandro_Mesa_Gomez/Vicomtech/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json,gA_1_s1_2019-03-08T09;31;15+01;00_distraction,0,gaze_on_road/looking_road,663,679
/mnt/c/Users/user/Documents/Alejandro_Mesa_Gomez/Vicomtech/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json,gA_1_s1_2019-03-08T09;31;15+01;00_distraction,0,gaze_on_road/looking_road,743,747
/mnt/c/Users/user/Documents/Alejandro_Mesa_Gomez/Vicomtech/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json,gA_1_s1_2019-03-08T09;31;15+01;00_distraction,0,gaze_on_road/looking_road,795,812
/mnt/c/Users/user/Documents/Alejandro_Mesa_Gomez/Vicomtech/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json,gA_1_s1_2019-03-08T09;31;15+01;00_distraction,0,gaze_on_road/looking_road,861,955
/mnt/c/Users/user/Documents/Alejandro_Mesa_Gomez/Vicomtech/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json,gA_1_s1_2019-03-08T09;31;15+01;00_distraction,0,gaze_on_road/looking_road,972,1276
/mnt/c/Users/user/Documents/Alejandro_Mesa_Gomez/Vicomtech/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json,gA_1_s1_2019-03-08T09;31;15+01;00_distraction,0,gaze_on_road/looking_road,1298,1368
/mnt/c/Users/user/Documents/Alejandro_Mesa_Gomez/Vicomtech/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json,gA_1_s1_2019-03-08T09;31;15+01;00_distraction,0,gaze_on_road/looking_road,1386,1763
/mnt/c/Users/user/Documents/Alejandro_Mesa_Gomez/Vicomtech/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json,gA_1_s1_2019-03-08T09;31;15+01;00_distraction,0,gaze_on_road/looking_road,1796,2128
/mnt/c/Users/user/Documents/Alejandro_Mesa_Gomez/Vicomtech/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json,gA_1_s1_2019-03-08T09;31;15+01;00_distraction,0,gaze_on_road/looking_road,2150,2252
