corrida,epoca,macro_f1_window,macro_f1_segmento
binary_phone,0,0.547557,0.533271
binary_phone,1,0.682380,0.689529
binary_phone,2,0.776569,0.719709
binary_phone,3,0.676961,0.665117
binary_phone,4,0.806831,0.741333
binary_phone,5,0.753506,0.703713
binary_phone,6,0.822128,0.758814
binary_phone,7,0.825756,0.751891
binary_phone,8,0.840106,0.787203
binary_phone_lad04_body,0,0.316567,0.434028
binary_phone_lad04_body,1,0.314848,0.433043
binary_phone_lad04_body,2,0.317032,0.433043
binary_phone_lad04_body,3,0.316567,0.434028
binary_phone_lad04_body,4,0.318294,0.428070
binary_phone_lad04_body,5,0.316567,0.434028
binary_phone_lad04_body,6,0.316567,0.434028
binary_phone_lad04_body,7,0.315940,0.431065
binary_phone_lad04_body,8,0.315876,0.430070
binary_phone_lad04_body,9,0.315482,0.431065
binary_phone_lad04_body,10,0.315225,0.431065
binary_phone_lad04_body,11,0.315613,0.431065
binary_phone_lad05,0,0.316567,0.434028
binary_phone_lad05,1,0.316567,0.434028
binary_phone_lad05_lrbajo,0,0.316567,0.434028
binary_phone_lad05_lrbajo,1,0.316567,0.434028
binary_phone_lad05_lrbajo,2,0.316472,0.434028
binary_phone_lad05_lrbajo,3,0.316752,0.434028
binary_phone_lad05_lrbajo,4,0.317205,0.433043
binary_phone_lad05_lrbajo,5,0.317059,0.434028
binary_phone_lad05_lrbajo,6,0.317589,0.434028
binary_phone_lad05_lrbajo,7,0.320082,0.434028
binary_phone_lad05_lrbajo,8,0.323234,0.434028
binary_phone_lad05_lrbajo,9,0.323491,0.434028
binary_phone_lad05_lrbajo,10,0.323332,0.434028
binary_phone_lad05_lrbajo,11,0.323381,0.434028
binary_phone_lad10,0,0.784025,0.727026
binary_phone_lad10,1,0.772356,0.714893
binary_phone_lad10,2,0.822584,0.771677
binary_phone_lad10,3,0.805556,0.737841
binary_phone_lad10,4,0.819246,0.737841
binary_phone_lad10,5,0.792776,0.726602
binary_phone_lad10,6,0.821136,0.737841
binary_phone_lad10,7,0.834041,0.768710
binary_phone_lad10,8,0.839241,0.774540
binary_phone_lad10,9,0.828264,0.751666
binary_phone_lad10,10,0.830950,0.755220
binary_phone_lad10,11,0.829803,0.755220
binary_phone_lad10_augmentation,0,0.795180,0.734233
binary_phone_lad10_augmentation,1,0.775714,0.708078
binary_phone_lad10_augmentation,2,0.815285,0.787203
binary_phone_lad10_augmentation,3,0.806806,0.744804
binary_phone_lad13_augmentation,0,0.816801,0.762014
binary_phone_lad13_augmentation,1,0.821699,0.758431
binary_phone_lad13_augmentation,2,0.847057,0.789756
binary_phone_lad13_augmentation,3,0.836338,0.784561
binary_phone_lad13_augmentation,4,0.844802,0.778163
binary_phone_lad13_augmentation,5,0.828483,0.765636
binary_phone_lad13_augmentation,6,0.845727,0.778163
binary_phone_lad13_augmentation,7,0.841698,0.778163
binary_phone_lad13_augmentation,8,0.854474,0.803247
binary_phone_lad13_augmentation,9,0.849225,0.790872
binary_phone_lad13_augmentation,10,0.849635,0.790872
binary_phone_lad13_augmentation,11,0.849429,0.790872
