corrida,epoca,macro_f1_window,macro_f1_segmento
binary_phone,0,0.319424,0.434028
binary_phone,1,0.325102,0.434028
binary_phone,2,0.334022,0.423009
binary_phone,3,0.316541,0.434028
binary_phone,4,0.326406,0.433043
binary_phone,5,0.316890,0.434028
binary_phone,6,0.318051,0.434028
binary_phone,7,0.332074,0.434028
binary_phone,8,0.337473,0.434028
binary_phone_lad04_body,0,0.316541,0.434028
binary_phone_lad04_body,1,0.681887,0.709659
binary_phone_lad04_body,2,0.801962,0.809318
binary_phone_lad04_body,3,0.805872,0.821468
binary_phone_lad04_body,4,0.752324,0.782836
binary_phone_lad04_body,5,0.646026,0.663744
binary_phone_lad04_body,6,0.719773,0.787203
binary_phone_lad04_body,7,0.797110,0.798960
binary_phone_lad04_body,8,0.792768,0.798960
binary_phone_lad04_body,9,0.781098,0.795002
binary_phone_lad04_body,10,0.786874,0.790219
binary_phone_lad04_body,11,0.783759,0.797011
binary_phone_lad05,0,0.776577,0.794270
binary_phone_lad05,1,0.745743,0.788246
binary_phone_lad05_lrbajo,0,0.777633,0.799888
binary_phone_lad05_lrbajo,1,0.752090,0.778163
binary_phone_lad05_lrbajo,2,0.803215,0.812961
binary_phone_lad05_lrbajo,3,0.772559,0.788586
binary_phone_lad05_lrbajo,4,0.766555,0.797778
binary_phone_lad05_lrbajo,5,0.746538,0.784561
binary_phone_lad05_lrbajo,6,0.754506,0.804164
binary_phone_lad05_lrbajo,7,0.779656,0.796920
binary_phone_lad05_lrbajo,8,0.778455,0.786309
binary_phone_lad05_lrbajo,9,0.775958,0.793350
binary_phone_lad05_lrbajo,10,0.776523,0.796920
binary_phone_lad05_lrbajo,11,0.776290,0.796920
binary_phone_lad10,0,0.316494,0.434028
binary_phone_lad10,1,0.316541,0.434028
binary_phone_lad10,2,0.316181,0.433043
binary_phone_lad10,3,0.315062,0.433043
binary_phone_lad10,4,0.314823,0.434028
binary_phone_lad10,5,0.314510,0.433043
binary_phone_lad10,6,0.314945,0.434028
binary_phone_lad10,7,0.315829,0.432056
binary_phone_lad10,8,0.317928,0.429072
binary_phone_lad10,9,0.315750,0.433043
binary_phone_lad10,10,0.317065,0.433043
binary_phone_lad10,11,0.317164,0.433043
binary_phone_lad10_augmentation,0,0.316652,0.433043
binary_phone_lad10_augmentation,1,0.316398,0.434028
binary_phone_lad10_augmentation,2,0.315428,0.433043
binary_phone_lad10_augmentation,3,0.316208,0.434028
binary_phone_lad13_augmentation,0,0.315560,0.433043
binary_phone_lad13_augmentation,1,0.316112,0.434028
binary_phone_lad13_augmentation,2,0.315703,0.433043
binary_phone_lad13_augmentation,3,0.316017,0.434028
binary_phone_lad13_augmentation,4,0.315874,0.434028
binary_phone_lad13_augmentation,5,0.316065,0.434028
binary_phone_lad13_augmentation,6,0.315990,0.433043
binary_phone_lad13_augmentation,7,0.315990,0.433043
binary_phone_lad13_augmentation,8,0.315703,0.433043
binary_phone_lad13_augmentation,9,0.315894,0.433043
binary_phone_lad13_augmentation,10,0.315942,0.433043
binary_phone_lad13_augmentation,11,0.315942,0.433043
