corrida,epoca,macro_f1_window,macro_f1_segmento
lad04_blocks4,0,0.254162,0.357590
lad04_blocks4,1,0.470264,0.354307
lad04_blocks4,2,0.488060,0.425975
lad04_blocks4,3,0.590219,0.504755
lad04_blocks4,4,0.596862,0.511075
lad04_blocks4,5,0.593772,0.508144
lad04_blocks4,6,0.583351,0.569801
lad04_blocks4,7,0.613857,0.549813
lad04_blocks4,8,0.604798,0.576747
lad04_blocks4,9,0.628779,0.569032
lad04_blocks4,10,0.631608,0.557258
lad04_blocks4,11,0.636541,0.556482
lad04_aug_both,0,0.170781,0.331133
lad04_aug_both,1,0.415804,0.306398
lad04_aug_both,2,0.542924,0.447069
lad04_aug_both,3,0.531223,0.468864
lad04_aug_both,4,0.534547,0.522061
lad04_aug_both,5,0.563714,0.498680
lad04_aug_both,6,0.556287,0.555562
lad04_aug_both,7,0.590245,0.559700
lad04_aug_both,8,0.566248,0.569060
lad04_aug_both,9,0.580609,0.560362
lad04_aug_both,10,0.581613,0.557065
lad04_aug_both,11,0.584958,0.557201
lad04_aug_temporal,0,0.256241,0.371049
lad04_aug_temporal,1,0.385971,0.289523
lad04_aug_temporal,2,0.495949,0.459168
lad04_aug_temporal,3,0.554294,0.482472
lad04_aug_temporal,4,0.569611,0.471330
lad04_aug_temporal,5,0.580515,0.524385
lad04_aug_temporal,6,0.545081,0.556117
lad04_aug_temporal,7,0.560349,0.560193
lad04_aug_temporal,8,0.543806,0.558631
lad04_aug_temporal,9,0.567921,0.538933
lad04_aug_temporal,10,0.573147,0.546700
lad04_aug_temporal,11,0.576005,0.545555
