corrida,epoca,macro_f1_window,macro_f1_segmento
exp00_frozen,0,0.210417,0.337255
exp00_frozen,1,0.335335,0.423847
exp00_frozen,2,0.390630,0.448692
exp00_frozen,3,0.411560,0.510388
exp00_frozen,4,0.434730,0.499300
exp00_frozen,5,0.437873,0.515726
exp00_frozen,6,0.490563,0.535571
exp00_frozen,7,0.491815,0.546669
exp00_frozen,8,0.463921,0.516680
exp00_frozen,9,0.489780,0.528876
exp00_frozen,10,0.485773,0.527580
exp00_frozen,11,0.485467,0.525918
exp02_last4,0,0.328049,0.419109
exp02_last4,1,0.266997,0.394507
exp02_last4,2,0.396143,0.490931
exp02_last4,3,0.484783,0.535718
exp02_last4,4,0.431735,0.481380
exp02_last4,5,0.502574,0.552856
exp02_last4,6,0.514529,0.511848
exp02_last4,7,0.488703,0.492418
exp02_last4,8,0.504418,0.518991
exp02_last4,9,0.524049,0.535490
exp02_last4,10,0.509848,0.525539
exp02_last4,11,0.508751,0.523309
