corrida,epoca,macro_f1_window,macro_f1_segmento
binary_phone_lad10_body,0,0.763214,0.795002
binary_phone_lad10_body,1,0.755776,0.799535
binary_phone_lad10_body,2,0.843907,0.822202
binary_phone_lad10_body,3,0.826086,0.816225
binary_phone_lad10_body,4,0.834641,0.816391
binary_phone_lad10_body,5,0.776632,0.815811
binary_phone_lad10_body,6,0.826957,0.819950
binary_phone_lad10_body,7,0.848483,0.823046
binary_phone_lad10_body,8,0.856153,0.832932
binary_phone_lad10_body,9,0.825727,0.818187
binary_phone_lad10_body,10,0.831275,0.816441
binary_phone_lad10_body,11,0.828139,0.812828
