corrida,epoca,macro_f1_window,macro_f1_segmento
lc_s05,0,0.193064,0.192901
lc_s05,1,0.152818,0.289394
lc_s05,2,0.260541,0.245508
lc_s05,3,0.211856,0.319011
lc_s05,4,0.324713,0.353727
lc_s05,5,0.395471,0.457133
lc_s05,6,0.380574,0.455578
lc_s05,7,0.366144,0.425103
lc_s05,8,0.390748,0.461217
lc_s05,9,0.383506,0.439085
lc_s05,10,0.376452,0.439219
lc_s05,11,0.379026,0.439734
lc_s10,0,0.194808,0.196526
lc_s10,1,0.246556,0.341973
lc_s10,2,0.450692,0.517250
lc_s10,3,0.491038,0.486555
lc_s10,4,0.503451,0.527627
lc_s10,5,0.540763,0.526987
lc_s10,6,0.507440,0.553900
lc_s10,7,0.515999,0.509683
lc_s10,8,0.529699,0.538079
lc_s10,9,0.535662,0.545695
lc_s10,10,0.531353,0.516585
lc_s10,11,0.530963,0.520275
lc_s15,0,0.204332,0.197988
lc_s15,1,0.216289,0.444103
lc_s15,2,0.455396,0.463932
lc_s15,3,0.470578,0.536237
lc_s15,4,0.540773,0.532145
lc_s15,5,0.513255,0.523681
lc_s15,6,0.513854,0.532095
lc_s15,7,0.522948,0.520840
lc_s15,8,0.517683,0.535182
lc_s15,9,0.524140,0.522503
lc_s15,10,0.528670,0.499628
lc_s15,11,0.530411,0.510443
lad04_blocks4,0,0.254162,0.357590
lad04_blocks4,1,0.470264,0.354307
lad04_blocks4,2,0.488060,0.425975
lad04_blocks4,3,0.590219,0.504755
lad04_blocks4,4,0.596862,0.511075
lad04_blocks4,5,0.593772,0.508144
lad04_blocks4,6,0.583351,0.569801
lad04_blocks4,7,0.613857,0.549813
lad04_blocks4,8,0.604798,0.576747
lad04_blocks4,9,0.628779,0.569032
lad04_blocks4,10,0.631608,0.557258
lad04_blocks4,11,0.636541,0.556482
