corrida,epoca,macro_f1_window,macro_f1_segmento
lad00_frozen,0,0.248263,0.357766
lad00_frozen,1,0.384195,0.321803
lad00_frozen,2,0.307673,0.395409
lad00_frozen,3,0.455352,0.531328
lad00_frozen,4,0.503098,0.532448
lad00_frozen,5,0.436082,0.505881
lad00_frozen,6,0.453288,0.522152
lad00_frozen,7,0.507635,0.541362
lad00_frozen,8,0.487193,0.514772
lad00_frozen,9,0.507425,0.546438
lad00_frozen,10,0.506911,0.534540
lad00_frozen,11,0.512477,0.535829
lad02_blocks2,0,0.254473,0.361735
lad02_blocks2,1,0.436175,0.389584
lad02_blocks2,2,0.458464,0.434743
lad02_blocks2,3,0.549660,0.524256
lad02_blocks2,4,0.561272,0.543569
lad02_blocks2,5,0.543277,0.481613
lad02_blocks2,6,0.549409,0.548519
lad02_blocks2,7,0.570056,0.523930
lad02_blocks2,8,0.563867,0.534994
lad02_blocks2,9,0.564565,0.538325
lad02_blocks2,10,0.557438,0.541459
lad02_blocks2,11,0.564757,0.543197
lad04_blocks4,0,0.254154,0.357659
lad04_blocks4,1,0.470362,0.357683
lad04_blocks4,2,0.488070,0.428108
lad04_blocks4,3,0.590226,0.503490
lad04_blocks4,4,0.596932,0.514604
lad04_blocks4,5,0.593858,0.509623
lad04_blocks4,6,0.582920,0.559489
lad04_blocks4,7,0.613821,0.554176
lad04_blocks4,8,0.604798,0.576747
lad04_blocks4,9,0.629209,0.580677
lad04_blocks4,10,0.631971,0.566718
lad04_blocks4,11,0.636906,0.565936
lad17_all,0,0.188802,0.192901
lad17_all,1,0.188802,0.192901
lad17_all,2,0.188802,0.192901
lad17_all,3,0.188802,0.192901
lad17_all,4,0.188802,0.192901
lad17_all,5,0.188802,0.192901
lad17_all,6,0.188802,0.192901
lad17_all,7,0.188802,0.192901
lad17_all,8,0.188802,0.192901
lad17_all,9,0.188802,0.192901
lad17_all,10,0.188802,0.192901
lad17_all,11,0.188802,0.192901
lad08_blocks8,0,0.067472,0.227577
lad08_blocks8,1,0.188802,0.192901
lad08_blocks8,2,0.188802,0.192901
lad08_blocks8,3,0.188802,0.192901
lad08_blocks8,4,0.188802,0.192901
lad08_blocks8,5,0.188802,0.192901
lad08_blocks8,6,0.188802,0.192901
lad08_blocks8,7,0.188802,0.192901
lad08_blocks8,8,0.190419,0.242084
lad08_blocks8,9,0.192184,0.284351
lad08_blocks8,10,0.192673,0.293030
lad08_blocks8,11,0.192673,0.293030
