corrida,epoca,macro_f1_window,macro_f1_segmento
lad17_clip,0,0.188802,0.192901
lad17_clip,1,0.188802,0.192901
lad17_clip,2,0.188802,0.192901
lad17_clip,3,0.188802,0.192901
lad17_clip,4,0.188802,0.192901
lad17_clip,5,0.188802,0.192901
lad17_clip,6,0.188802,0.192901
lad17_clip,7,0.188802,0.192901
lad17_clip,8,0.192673,0.293030
lad17_clip,9,0.193621,0.310003
lad17_clip,10,0.193621,0.310003
lad17_clip,11,0.193621,0.310003
prog02_to4,0,0.248263,0.357766
prog02_to4,1,0.384195,0.321803
prog02_to4,2,0.307673,0.395409
prog02_to4,3,0.489111,0.540503
prog02_to4,4,0.567922,0.545504
prog02_to4,5,0.504854,0.472874
prog02_to4,6,0.524396,0.567083
prog02_to4,7,0.562406,0.552011
prog02_to4,8,0.564129,0.567298
prog02_to4,9,0.568187,0.566286
prog02_to4,10,0.565497,0.560137
prog02_to4,11,0.570880,0.562661
lad08_blocks8,0,0.067472,0.227577
lad08_blocks8,1,0.188802,0.192901
lad08_blocks8,2,0.188802,0.192901
lad08_blocks8,3,0.188802,0.192901
lad08_blocks8,4,0.188802,0.192901
lad08_blocks8,5,0.188802,0.192901
lad08_blocks8,6,0.188802,0.192901
lad08_blocks8,7,0.188802,0.192901
lad08_blocks8,8,0.190419,0.242084
lad08_blocks8,9,0.192184,0.284351
lad08_blocks8,10,0.192673,0.293030
lad08_blocks8,11,0.192673,0.293030
