corrida,epoca,macro_f1_window,macro_f1_segmento
lc_s05_b,0,0.252505,0.317655
lc_s05_b,1,0.219571,0.236525
lc_s05_b,2,0.185653,0.436491
lc_s05_b,3,0.209144,0.354064
lc_s05_b,4,0.241360,0.463773
lc_s05_b,5,0.300874,0.456863
lc_s05_b,6,0.427872,0.443633
lc_s05_b,7,0.518141,0.487774
lc_s05_b,8,0.470926,0.546026
lc_s05_b,9,0.495059,0.513034
lc_s05_b,10,0.510265,0.497841
lc_s05_b,11,0.510791,0.491197
lc_s10_b,0,0.233493,0.357784
lc_s10_b,1,0.212930,0.350384
lc_s10_b,2,0.422791,0.502471
lc_s10_b,3,0.526225,0.451540
lc_s10_b,4,0.492293,0.517959
lc_s10_b,5,0.537793,0.543318
lc_s10_b,6,0.555285,0.549677
lc_s10_b,7,0.567943,0.559964
lc_s10_b,8,0.548255,0.559776
lc_s10_b,9,0.561665,0.556174
lc_s10_b,10,0.552315,0.540048
lc_s10_b,11,0.550913,0.539146
