corrida,epoca,macro_f1_window,macro_f1_segmento
lad04_blocks4,0,0.254154,0.357659
lad04_blocks4,1,0.470362,0.357683
lad04_blocks4,2,0.488070,0.428108
lad04_blocks4,3,0.590226,0.503490
lad04_blocks4,4,0.596932,0.514604
lad04_blocks4,5,0.593858,0.509623
lad04_blocks4,6,0.582920,0.559489
lad04_blocks4,7,0.613821,0.554176
lad04_blocks4,8,0.604798,0.576747
lad04_blocks4,9,0.629209,0.580677
lad04_blocks4,10,0.631971,0.566718
lad04_blocks4,11,0.636906,0.565936
lad04_decay01,0,0.254695,0.401250
lad04_decay01,1,0.461197,0.348590
lad04_decay01,2,0.446639,0.444124
lad04_decay01,3,0.532473,0.529246
lad04_decay01,4,0.577490,0.547590
lad04_decay01,5,0.575934,0.500152
lad04_decay01,6,0.577782,0.559380
lad04_decay01,7,0.599291,0.547892
lad04_decay01,8,0.596906,0.545163
lad04_decay01,9,0.609995,0.567591
lad04_decay01,10,0.610367,0.563104
lad04_decay01,11,0.611133,0.564503
lad04_decay10,0,0.188802,0.192901
lad04_decay10,1,0.188802,0.192901
lad04_decay10,2,0.188802,0.192901
lad04_decay10,3,0.188802,0.192901
lad04_decay10,4,0.188802,0.192901
lad04_decay10,5,0.188802,0.192901
lad04_decay10,6,0.188802,0.192901
lad04_decay10,7,0.188802,0.192901
lad04_decay10,8,0.188802,0.192901
lad04_decay10,9,0.188802,0.192901
lad04_decay10,10,0.206625,0.331280
lad04_decay10,11,0.239002,0.404720
lad04_lr1e4,0,0.343356,0.435972
lad04_lr1e4,1,0.499488,0.385775
lad04_lr1e4,2,0.504991,0.503390
lad04_lr1e4,3,0.508712,0.520607
lad04_lr1e4,4,0.567098,0.553909
lad04_lr1e4,5,0.574037,0.552045
lad04_lr1e4,6,0.566477,0.570370
lad04_lr1e4,7,0.589509,0.554647
lad04_lr1e4,8,0.577969,0.570189
lad04_lr1e4,9,0.593215,0.576470
lad04_lr1e4,10,0.588070,0.566129
lad04_lr1e4,11,0.589525,0.555762
lad04_lr1e3,0,0.188802,0.192901
lad04_lr1e3,1,0.188802,0.192901
lad04_lr1e3,2,0.188802,0.192901
lad04_lr1e3,3,0.188802,0.192901
lad04_lr1e3,4,0.188802,0.192901
lad04_lr1e3,5,0.188802,0.192901
lad04_lr1e3,6,0.188802,0.192901
lad04_lr1e3,7,0.188802,0.192901
lad04_lr1e3,8,0.188802,0.192901
lad04_lr1e3,9,0.188802,0.192901
lad04_lr1e3,10,0.188802,0.192901
lad04_lr1e3,11,0.188802,0.192901
