corrida,epoca,macro_f1_window,macro_f1_segmento
binary_phone_lad04_body,0,0.316541,0.434028
binary_phone_lad04_body,1,0.681887,0.709659
binary_phone_lad04_body,2,0.801962,0.809318
binary_phone_lad04_body,3,0.805872,0.821468
binary_phone_lad04_body,4,0.752324,0.782836
binary_phone_lad04_body,5,0.646026,0.663744
binary_phone_lad04_body,6,0.719773,0.787203
binary_phone_lad04_body,7,0.797110,0.798960
binary_phone_lad04_body,8,0.792768,0.798960
binary_phone_lad04_body,9,0.781098,0.795002
binary_phone_lad04_body,10,0.786874,0.790219
binary_phone_lad04_body,11,0.783759,0.797011
