corrida,epoca,macro_f1_window,macro_f1_segmento
lad04_blocks4,0,0.254154,0.357659
lad04_blocks4,1,0.470362,0.357683
lad04_blocks4,2,0.488070,0.428108
lad04_blocks4,3,0.590226,0.503490
lad04_blocks4,4,0.596932,0.514604
lad04_blocks4,5,0.593858,0.509623
lad04_blocks4,6,0.582920,0.559489
lad04_blocks4,7,0.613821,0.554176
lad04_blocks4,8,0.604798,0.576747
lad04_blocks4,9,0.629209,0.580677
lad04_blocks4,10,0.631971,0.566718
lad04_blocks4,11,0.636906,0.565936
lad04_seed7,0,0.239259,0.357178
lad04_seed7,1,0.536675,0.426352
lad04_seed7,2,0.549883,0.524073
lad04_seed7,3,0.577361,0.536333
lad04_seed7,4,0.576289,0.533432
lad04_seed7,5,0.573856,0.573000
lad04_seed7,6,0.586382,0.564641
lad04_seed7,7,0.615536,0.577840
lad04_seed7,8,0.597251,0.559651
lad04_seed7,9,0.583056,0.557560
lad04_seed7,10,0.590831,0.565924
lad04_seed7,11,0.599137,0.560747
lad04_seed123,0,0.242380,0.299183
lad04_seed123,1,0.489633,0.457715
lad04_seed123,2,0.435445,0.528217
lad04_seed123,3,0.547162,0.478976
lad04_seed123,4,0.564896,0.573743
lad04_seed123,5,0.568457,0.580115
lad04_seed123,6,0.594789,0.588018
lad04_seed123,7,0.581062,0.558096
lad04_seed123,8,0.554127,0.556835
lad04_seed123,9,0.561071,0.560048
lad04_seed123,10,0.566755,0.564041
lad04_seed123,11,0.563734,0.546683
