corrida,epoca,macro_f1_window,macro_f1_segmento
lad04_e24,0,0.344914,0.450496
lad04_e24,1,0.343055,0.306694
lad04_e24,2,0.467978,0.429489
lad04_e24,3,0.528944,0.543488
lad04_e24,4,0.602046,0.531004
lad04_e24,5,0.627107,0.506388
lad04_e24,6,0.578295,0.560420
lad04_e24,7,0.576671,0.537857
lad04_e24,8,0.589222,0.553765
lad04_e24,9,0.595416,0.577790
lad04_e24,10,0.545796,0.564369
lad04_e24,11,0.542113,0.563723
lad04_e24,12,0.583803,0.546814
lad04_e24,13,0.583481,0.547174
lad04_e24,14,0.577984,0.555073
lad04_e24,15,0.598101,0.548279
lad04_e24,16,0.597782,0.548763
lad04_e24,17,0.597133,0.542226
lad04_e24,18,0.598980,0.548344
lad04_e24,19,0.620608,0.539449
lad04_e24,20,0.629701,0.530852
lad04_e24,21,0.624778,0.526586
lad04_e24,22,0.628248,0.524210
lad04_e24,23,0.629026,0.522015
